epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
80,1902.23,0.96992,1.7483,0.42628,0.46233,0.02489,13.9291,0.91937,0.9774,0.97937,0.81678,0.88546,0.95715,0.94894,0.12218,0.70165,4.00251,0.2425,0.4057,0.0296,0,0.007393,0.007393,0.007393
81,1926.23,0.95018,1.83665,0.43035,0.45117,0.02363,13.9479,0.9786,0.95238,0.98962,0.80079,0.95862,0.93333,0.96346,0.11413,0.81132,4.11479,0.25635,0.30524,0.03395,0,0.00736,0.00736,0.00736
82,1950.02,0.94621,1.73145,0.43917,0.43689,0.02339,13.1777,0.9439,0.96138,0.98579,0.81372,0.93455,0.95186,0.97118,0.11959,0.738,4.07722,0.32548,0.33128,0.03072,0,0.007327,0.007327,0.007327
83,1973.84,0.91292,1.79935,0.43777,0.42768,0.02291,13.687,0.97726,0.94286,0.99084,0.83248,0.96738,0.93333,0.98712,0.11769,0.70172,4.07925,0.41119,0.29345,0.02908,0,0.007294,0.007294,0.007294
84,1996.42,0.91167,1.85068,0.43606,0.41346,0.02266,13.3206,0.90984,0.96111,0.98452,0.81036,0.90085,0.95182,0.97459,0.11422,0.72909,4.138,0.34953,0.35702,0.03018,0,0.007261,0.007261,0.007261
85,2020.61,0.90938,1.85652,0.43346,0.43686,0.02295,13.7849,0.9642,0.9619,0.98944,0.78776,0.95465,0.95238,0.9845,0.12039,0.82307,4.08442,0.22908,0.32622,0.03428,0,0.007228,0.007228,0.007228
86,2044.61,0.92457,1.80931,0.43333,0.44024,0.02319,13.3247,0.95283,0.95238,0.98739,0.8191,0.95283,0.95238,0.98739,0.11825,0.70613,4.11171,0.26838,0.30037,0.02933,0,0.007195,0.007195,0.007195
87,2067.29,0.93271,1.73988,0.43491,0.43186,0.02334,13.0154,0.94056,0.95238,0.98348,0.79241,0.93106,0.94286,0.97925,0.11686,0.77708,4.09034,0.25526,0.37805,0.03223,0,0.007162,0.007162,0.007162
88,2090.38,0.94835,1.79656,0.43042,0.44229,0.02387,13.1286,0.93584,0.95238,0.98235,0.78099,0.92618,0.94286,0.96666,0.11579,0.83558,4.05282,0.39371,0.38699,0.03524,0,0.007129,0.007129,0.007129
89,2113.82,0.91249,1.72,0.4429,0.42402,0.02228,12.6611,0.92454,0.97143,0.97421,0.79855,0.92454,0.97143,0.97421,0.11619,0.81491,4.07013,0.29876,0.41159,0.03401,0,0.007096,0.007096,0.007096
90,2137.89,0.90062,1.73654,0.44516,0.43368,0.02275,13.2113,0.93607,0.97616,0.98501,0.79957,0.93607,0.97616,0.98501,0.11838,0.75543,4.07129,0.28144,0.32302,0.03137,0,0.007063,0.007063,0.007063
91,2160.46,0.92783,1.87799,0.44045,0.4497,0.02311,13.6488,0.94846,0.94286,0.98253,0.81389,0.93888,0.93333,0.9761,0.1149,0.76268,4.14399,0.36076,0.32929,0.03176,0,0.00703,0.00703,0.00703
92,2184.05,0.9557,1.79818,0.43111,0.45347,0.02355,12.9288,0.98081,0.9733,0.99347,0.82557,0.98081,0.9733,0.99347,0.12337,0.69773,4.01978,0.28138,0.27727,0.02894,0,0.006997,0.006997,0.006997
93,2207.6,0.95065,1.79815,0.4228,0.43674,0.02365,13.2366,0.93253,0.92145,0.97812,0.8003,0.9229,0.91205,0.97155,0.11996,0.72576,4.09699,0.28985,0.43907,0.03041,0,0.006964,0.006964,0.006964
94,2231.48,0.92014,1.77109,0.43743,0.42994,0.02311,13.195,0.95308,0.96734,0.99034,0.80869,0.95308,0.96734,0.99034,0.11732,0.7404,4.17346,0.26281,0.30868,0.03094,0,0.006931,0.006931,0.006931
95,2254.13,0.91049,1.76046,0.42464,0.42157,0.02242,12.8929,0.92695,0.98095,0.99046,0.79438,0.92695,0.98095,0.99046,0.12594,0.76076,4.10223,0.21845,0.3057,0.03093,0,0.006898,0.006898,0.006898
96,2277.99,0.93908,1.80121,0.42674,0.43856,0.02327,12.742,0.9548,0.99048,0.99012,0.84084,0.9454,0.98095,0.98799,0.12394,0.65667,4.0592,0.24696,0.29341,0.02729,0,0.006865,0.006865,0.006865
97,2301.11,0.91391,1.77037,0.41901,0.43505,0.02254,12.6702,0.92357,0.94286,0.97913,0.77053,0.91403,0.93333,0.96642,0.12865,0.84237,4.03649,0.25638,0.40335,0.03526,0,0.006832,0.006832,0.006832
98,2323.39,0.92962,1.75981,0.42504,0.43968,0.0238,13.0295,0.89237,0.95238,0.97454,0.7848,0.88092,0.91593,0.96569,0.12411,0.73994,4.05968,0.23145,0.39226,0.03076,0,0.006799,0.006799,0.006799
